ibnr;ld;dst;kz;name;length;namel;dstabk;gonr;goabk;gdenr;gemeinde;kt;bp;vp;vg;vd;ycoord;xcoord;height;karte1;karte2
8518708;85;18708;8;Äuli;4;;AULI;72;RhB;3861;Fideris;GR;*;;;;776'150;199'237;770;▲;▲
8506013;85;6013;7;Aadorf;6;;AD;11;SBB;4551;Aadorf;TG;*;*;*;*;710'377;260'736;528;▲;▲
8573363;85;73363;4;Aadorf, Bahnhof;15;;;801;PAG;4551;Aadorf;TG;*;*;;;710'335;260'768;528;▲;▲
8576958;85;76958;8;Aadorf, Matthofstrasse;22;;;801;PAG;4551;Aadorf;TG;*;*;;;710'483;260'407;531;▲;▲
8506853;85;6853;6;Aadorf, Morgental;17;;;801;PAG;4551;Aadorf;TG;*;*;;;709'827;261'373;517;▲;▲
8573362;85;73362;6;Aadorf, Zentrum;15;;;801;PAG;4551;Aadorf;TG;*;*;;;710'079;261'060;528;▲;▲
8502113;85;2113;9;Aarau;5;;AA;11;SBB;4001;Aarau;AG;*;*;*;*;646'254;249'128;383;▲;▲
8502137;85;2137;8;Aarau CT;8;;AACT;11;SBB;4001;Aarau;AG;*;*;*;;647'585;249'548;380;▲;▲
8502136;85;2136;0;Aarau GB;8;;AAGB;11;SBB;4001;Aarau;AG;*;*;*;;647'396;249'489;383;▲;▲
8502140;85;2140;2;Aarau Ost (Abzw);16;;AAO;11;SBB;4001;Aarau;AG;*;;;;647'840;249'574;383;▲;▲
8590257;85;90257;7;Aarau Rohr, Gemeindehaus;24;;;840;BBA;4001;Aarau;AG;*;*;;;648'785;250'486;375;▲;▲
8590258;85;90258;5;Aarau Rohr, Quellhölzli;23;;;840;BBA;4001;Aarau;AG;*;*;;;648'044;250'143;374;▲;▲
8590259;85;90259;3;Aarau Rohr, Rigistrasse;23;;;840;BBA;4001;Aarau;AG;*;*;;;648'459;250'334;375;▲;▲
8590260;85;90260;1;Aarau Rohr, Salamatt;20;;;840;BBA;4001;Aarau;AG;*;*;;;647'824;249'937;369;▲;▲
8590261;85;90261;9;Aarau Rohr, Unterdorf;21;;;840;BBA;4001;Aarau;AG;*;*;;;649'010;250'605;375;▲;▲
8519685;85;19685;7;Aarau Torfeld;13;;ATOR;96;WSB;4001;Aarau;AG;*;*;;;647'111;249'380;383;▲;▲
8502170;85;2170;9;Aarau WSB;9;;AAWS;96;WSB;4001;Aarau;AG;*;;;*;646'360;249'090;383;▲;▲
8594390;85;94390;2;Aarau, Aarenau;14;;;840;BBA;4001;Aarau;AG;*;*;;;646'085;250'261;365;▲;▲
8572388;85;72388;2;Aarau, Aarepark;15;;;840;BBA;4001;Aarau;AG;*;*;;;645'500;249'676;370;▲;▲
8588428;85;88428;8;Aarau, Achenbergstrasse;23;;;840;BBA;4001;Aarau;AG;*;*;;;645'906;250'076;383;▲;▲
8590132;85;90132;2;Aarau, Allmendweg;17;;;840;BBA;4001;Aarau;AG;*;*;;;645'228;249'187;368;▲;▲
8578645;85;78645;9;Aarau, Alte Badanstalt;22;;;840;BBA;4001;Aarau;AG;*;*;;;644'741;249'567;383;▲;▲
8502996;85;2996;7;Aarau, Bahnhof;14;;;801;PAG;4001;Aarau;AG;*;*;;;646'235;249'184;383;▲;▲
8590133;85;90133;0;Aarau, Bavaria;14;;;840;BBA;4001;Aarau;AG;*;*;;;647'151;249'018;385;▲;▲
8590134;85;90134;8;Aarau, Berufsschule;19;;;840;BBA;4001;Aarau;AG;*;*;;;646'535;249'761;364;▲;▲
8590135;85;90135;5;Aarau, Binzenhofstrasse;23;;;840;BBA;4001;Aarau;AG;*;*;;;645'923;247'791;419;▲;▲
8590136;85;90136;3;Aarau, Buchenhof;16;;;840;BBA;4001;Aarau;AG;*;*;;;646'216;248'704;396;▲;▲
8590137;85;90137;1;Aarau, Dammweg;14;;;840;BBA;4001;Aarau;AG;*;*;;;644'938;248'513;368;▲;▲
8590138;85;90138;9;Aarau, Delfterstrasse;21;;;840;BBA;4001;Aarau;AG;*;*;;;647'080;249'958;364;▲;▲
8590139;85;90139;7;Aarau, Dossenstrasse;20;;;840;BBA;4001;Aarau;AG;*;*;;;646'000;247'988;416;▲;▲
